Time,Temperature,Pressure,Sound,Light,Pressure,Humidity,Comment
s,°C,kPa,dBA,lx,kPa,%RH,

225.6,19.1,100.9,40.0,1000,100.37,62.6,
226.56,19.2,101.1,40.0,1000,100.35,62.2,
227.52,19.2,101.1,73.3,802,100.34,61.8,
228.48,19.3,101.1,49.9,557,100.40,61.3,
229.44,19.3,101.1,52.8,526,100.38,60.8,
230.4,19.4,101.1,49.9,371,100.39,60.4,
231.36,19.4,101.1,76.4,285,100.39,59.9,
232.32,19.4,101.1,76.9,769,100.37,59.5,
233.28,19.5,101.1,59.7,939,100.35,59.1,
234.24,19.5,101.1,40.0,971,100.36,58.8,
235.2,19.5,101.1,40.0,971,100.35,58.4,
236.16,19.6,101.1,40.0,970,100.39,58.1,
237.12,19.6,101.1,40.0,971,100.35,57.8,
238.08,19.6,101.1,83.0,970,100.36,57.6,
239.04,19.7,101.1,74.2,411,100.36,57.0,
240,19.7,101.1,40.0,866,100.37,55.9,
240.96,19.7,101.1,40.0,957,100.39,54.8,
241.92,19.7,101.1,40.0,980,100.36,54.2,
242.88,19.8,101.1,40.0,1000,100.38,53.8,
243.84,19.8,101.1,73.0,884,100.38,53.6,
244.8,19.8,101.1,40.0,699,100.34,53.4,
245.76,19.9,101.3,61.3,896,100.39,53.2,
246.72,19.9,101.3,61.7,682,100.35,53.0,
247.68,19.9,101.3,42.7,524,100.37,53.0,
248.64,20.0,101.3,40.0,560,100.36,53.0,
249.6,20.0,101.3,40.0,607,100.35,52.9,
250.56,20.0,101.3,40.0,594,100.37,52.9,
251.52,20.0,101.3,59.4,606,100.37,52.8,
252.48,20.1,101.3,70.0,659,100.37,52.8,
253.44,20.1,101.3,69.9,195,100.37,52.6,
254.4,20.1,101.3,81.4,125,100.35,52.3,
255.36,20.2,101.3,71.5,117,100.37,52.0,
256.32,20.2,101.3,81.2,105,100.33,51.8,
257.28,20.2,101.3,78.0,149,100.37,51.6,
258.24,20.2,101.3,77.7,172,100.34,51.4,
259.2,20.3,101.3,80.3,194,100.36,51.2,
260.16,20.3,101.3,79.0,199,100.38,51.0,
261.12,20.3,101.3,77.1,199,100.37,50.8,
262.08,20.4,101.3,83.0,199,100.38,50.7,
263.04,20.4,101.3,83.4,202,100.37,50.6,
264,20.4,101.3,83.9,210,100.34,50.5,
264.96,20.4,101.3,84.0,215,100.36,50.6,
265.92,20.5,101.5,83.2,219,100.35,50.6,
266.88,20.5,101.5,81.7,219,100.35,50.7,
267.84,20.5,101.5,81.4,221,100.34,50.7,
268.8,20.5,101.5,83.7,221,100.35,50.7,
269.76,20.6,101.5,81.6,222,100.37,50.7,
270.72,20.6,101.5,88.0,226,100.37,50.6,
271.68,20.6,101.5,86.6,232,100.35,50.6,
272.64,20.6,101.5,85.1,234,100.35,50.5,
273.6,20.7,101.5,85.2,243,100.37,50.4,
274.56,20.7,101.3,84.6,267,100.37,50.3,
275.52,20.7,101.5,86.5,295,100.36,50.2,
276.48,20.7,101.5,84.4,309,100.36,50.1,
277.44,20.7,101.5,82.9,310,100.37,50.0,
278.4,20.8,101.5,83.1,323,100.34,49.9,
279.36,20.8,101.5,84.3,236,100.35,49.8,
280.32,20.8,101.5,80.3,97,100.38,49.7,
281.28,20.8,101.5,81.2,77,100.37,49.6,
282.24,20.8,101.5,86.1,176,100.36,49.4,
283.2,20.9,101.5,85.8,259,100.35,49.3,
284.16,20.9,101.5,83.5,281,100.40,49.1,
285.12,20.9,101.5,85.7,302,100.33,49.0,
286.08,20.9,101.5,82.4,319,100.36,48.8,
287.04,20.9,101.5,83.3,329,100.36,48.7,
288,20.9,101.5,83.0,343,100.34,48.6,
288.96,21.0,101.6,83.3,352,100.33,48.6,
289.92,21.0,101.6,82.2,367,100.36,48.5,
290.88,21.0,101.6,82.0,383,100.37,48.4,
291.84,21.0,101.6,84.7,383,100.35,48.4,
292.8,21.0,101.6,81.6,409,100.34,48.3,
293.76,21.1,101.6,79.5,431,100.37,48.3,
294.72,21.1,101.6,85.8,418,100.36,48.3,
295.68,21.1,101.6,80.1,401,100.37,48.2,
296.64,21.1,101.6,75.5,514,100.37,48.2,
297.6,21.1,101.6,64.8,1000,100.37,48.2,
298.56,21.1,101.6,40.0,1000,100.38,48.1,
299.52,21.1,101.6,55.0,1000,100.39,48.0,
300.48,21.2,101.6,60.3,1000,100.35,47.9,
